,Value,Text
1,SKMMTA3EXT,ASTA C/ESTENSIONE 3''
2,SKMMTAPP/S,ASTA C/POTATORE SHINDAIWA
3,SKMMTAPS,ASTA C/SPAZZOLATRICE
4,SKMMTALE/S,ASTA C/TAGLIABORDI SHINDAIWA
5,SKMMTATB,ASTA C/TESTINA FILO
6,SKMMTAAHHD,ASTA C/TOSASIEPI
7,SKMMTAAHSHD,ASTA C/TOSASIEPI CORTO
8,SKMMTATC,ASTA C/ZAPPETTA
9,SKMSBAT230CED,ASTA CON DECESPUGLIATORE SBA-TX24
10,SKMSBAP230CED,ASTA CON POTATORE SBA-P24
11,SKMSBAH230CE,ASTA CON TOSASIEPI SBA-AH2422
12,SKMSBAH2422LW,ASTA CON TOSASIEPI SBA-AH2422LW
13,SKMSBAHS2422,ASTA CON TOSASIEPI SBA-AHS2422
14,SKMSBAHS2422LW,ASTA CON TOSASIEPI SBA-AHS2422LW
15,SKMPPAAHHD,ATTACCO TOSASIEPI PER PT262S
16,SKMATTAH230CE,ATTACCO TOSASIEPI X AH230/CE
17,SKM99946400023,"ESTENSIONE 1,2 MT X PPT2100-2400"
18,SKM2510M,MOTORE C4 MULTI-USO X ATTACCHI
19,SKM262MS,MOTORE MULTI-USO X ATTACCHI
20,SKM243MS,MOTORE MULTI-USO X ATTACCHI (EC2)
21,SKMEC741S,MOTOTRONCATRICE SDK EC741S
22,SKMEC7600W,MOTOTRONCATRICE SDK EC7600W 14''
23,SKM80262PTS,POTATORE SDK PT262S
24,SKM80266PTS,POTATORE SDK PT266S
25,SKM60221E,SOFFIATORE SDK EB221
26,SKM60250E,SOFFIATORE SDK EB250
27,SKM602510E,SOFFIATORE SDK EB2510 C4
28,SKM60252E,SOFFIATORE SDK EB252
29,SKM60262E,SOFFIATORE SDK EB262
30,SKM603410E,SOFFIATORE SDK EB3410 C4
31,SKM60600RT,SOFFIATORE SDK EB600RT
32,SKM60770E,SOFFIATORE SDK EB770
33,SKM60810E,SOFFIATORE SDK EB810
34,SKM608520RT,SOFFIATORE SDK EB8520RT C4
35,SKM60256S,SOFFIATORE SDK EBS256S
1,SKM65010,ASTA CON BORDATORE X 230PHS
2,SKMSBATX241,ASTA CON DECESPUGLIATORE SBA-TX24-1
3,SKMATTP230CED,ATTACCO POTATORE X P230/CE
4,SKM50410BS,DECESPUGLIATORE SDK B410TS
5,SKM50450B,DECESPUGLIATORE SDK B450
6,SKM50510BS,DECESPUGLIATORE SDK B510S
7,SKM50530B,DECESPUGLIATORE SDK B530
8,SKM5045P,DECESPUGLIATORE SDK BP45
9,SKM50520P,DECESPUGLIATORE SDK BP520
10,SKM50530P,DECESPUGLIATORE SDK BP530
11,SKM50251C,DECESPUGLIATORE SDK C251
12,SKM50302CS,DECESPUGLIATORE SDK C302TS
13,SKM50303CS,DECESPUGLIATORE SDK C303TS
14,SKM50335CS,DECESPUGLIATORE SDK C335TS
15,SKM503410CX,DECESPUGLIATORE SDK C3410X C4
16,SKM50350C,DECESPUGLIATORE SDK C350
17,SKM50360C,DECESPUGLIATORE SDK C360T
