Descrizione,Categoria,Sottocategoria,Listino 4 (ivato),Note,Produttore,Cod. Fornitore,Categoria,Immagine,Internet
1580 TerrainCut,Macchine,Tosaerba Professionali,,"Piatti a scarico laterale 7-Iron PRO od a scarico posteriore FASTBACK
Motore diesel
Compatibile con la lama anteriore Select e la spazzolatrice anteriore
Specifiche
John Deere 1580 TerrainCut Tosaerba Professionali
Dimensioni piatto 60, 62, 72 in153, 158, 183 cm
Potenza del motore 38.2 CV*28.1 kW
Opzioni combustibile Diesel",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1580-TerrainCut.jpg,https://www.deere.it/it/tosaerba-professionali/frontali-a-taglio-rotativo/1580-terraincut/
,,,,,,,,,
1575 TerrainCut,Macchine,Tosaerba Professionali,,"Piatti a scarico laterale 7-Iron PRO od a scarico posteriore FASTBACK
Motore diesel
ComfortCab integrata
Compatibile con la lama anteriore Select e la spazzolatrice anteriore
Specifiche
John Deere 1575 TerrainCut Tosaerba Professionali
Dimensioni piatto 60, 62, 72 in153, 158, 183 cm
Potenza del motore 30.9 CV*22.7 kW
Opzioni combustibile Diesel",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1575-TerrainCut.jpg,https://www.deere.it/it/tosaerba-professionali/frontali-a-taglio-rotativo/1575-terraincut/
X948,Macchine,Trattorini Tosaerba Diesel,,"Pedali Twin Touch
Comando Cruise
Sistema di sollevamento del piatto: idraulico
Innesto del piatto di taglio: elettrico
Servosterzo tipo: 2 ruote sterzanti anteriori
Sistema di trasmissione: 4 ruote motrici
Specifiche
John Deere X948 Trattorini Tosaerba Diesel
Motore 18 kW24.5 CV
Trasmissione 4 ruote motrici
Servosterzo Idraulico, 2 ruote sterzanti anteriori
Velocità in marcia avanti 13,7 km/h",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X948.jpg,https://www.deere.it/it/tosaerba-professionali/trattorini-tosaerba-diesel/serie-x900/x948/
X940,Macchine,Trattorini Tosaerba Diesel,,"Pedali Twin Touch
Comando Cruise
Sistema di sollevamento del piatto: idraulico
Innesto del piatto di taglio: elettrico
Servosterzo tipo: 2 ruote sterzanti anteriori
Sistema di trasmissione: 2 ruote motrici
Specifiche
John Deere X940 Trattorini Tosaerba Diesel
Motore 18 kW24.5 CV
Trasmissione 2 ruote motrici
Servosterzo Idraulico, 2 ruote sterzanti anteriori
Velocità in marcia avanti 13,7 km/h",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X940.jpg,https://www.deere.it/it/tosaerba-professionali/trattorini-tosaerba-diesel/serie-x900/x940/
X949,Macchine,Trattorini Tosaerba Diesel,,"Pedali Twin Touch
Comando Cruise
Sistema di sollevamento del piatto: idraulico
Innesto del piatto di taglio: elettrico
Servosterzo tipo: 4 ruote sterzanti
Sistema di trasmissione: 4 ruote motrici
Specifiche
John Deere X949 Trattorini Tosaerba Diesel
Motore 18 kW24.5 CV
Trasmissione 4 ruote motrici
Servosterzo Idraulico, 4 ruote sterzanti
Velocità in marcia avanti 13,7 km/h",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X949.jpg,https://www.deere.it/it/tosaerba-professionali/trattorini-tosaerba-diesel/serie-x900/x949/
X950R,Macchine,Tosaerba Professionali,,"Motore diesel ad alta coppia
Motori idraulici heavy-duty delle ruote
Eccellente ergonomia e comandi intuitivi
Specifiche
John Deere X950R Tosaerba Professionali
Potenza motore 18,5 KW25,2 CV
Trasmissione Idraulico
Servosterzo 2 ruote sterzanti anteriori
Velocità di avanzamento 14,5 km/h",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\X950R.jpg,https://www.deere.it/it/tosaerba-professionali/trattorini-tosaerba-diesel/serie-x900/x950r/
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
1570 TerrainCut,Macchine,Tosaerba Professionali,,"Piatti a scarico laterale 7-Iron PRO od a scarico posteriore FASTBACK
Motore diesel
Compatibile con la lama anteriore Select e la spazzolatrice anteriore
Specifiche
John Deere 1570 TerrainCut Tosaerba Professionali
Dimensioni piatto 60, 62, 72 in153, 158, 183 cm
Potenza del motore 30.9 CV*22.7 kW
Opzioni combustibile Diesel",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1570-TerrainCut.jpg,https://www.deere.it/it/tosaerba-professionali/frontali-a-taglio-rotativo/1570-terraincut/
,,,,,,,,,
1550 TerrainCut,Macchine,Tosaerba Professionali,,"Piatti a scarico laterale 7-Iron PRO od a scarico posteriore FASTBACK
Motore diesel
Trasmissione idrostatica 4WD
Compatibile con la lama anteriore Select e la spazzolatrice anteriore
Specifiche
John Deere 1550 TerrainCut Tosaerba Professionali
Dimensioni piatto 60, 62, 72 in153, 158, 183 cm
Potenza del motore 24.2 CV*17.8 kW
Opzioni combustibile Diesel",John Deere,0000,Macchine,C:\ImmaginiDanea\jd\1550-TerrainCut.jpg,https://www.deere.it/it/tosaerba-professionali/frontali-a-taglio-rotativo/1550-terraincut/
