Descrizione,Listino 4 (ivato),Produttore,Cod. Fornitore,Categoria,Internet,Note,images
ATTACCO SPAZZOLATRICE,"518,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-spazzolatrice,,
ATTACCO TAGLIABORDI,"202,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tagliabordi,,
,,,,,,,
Disco a 80 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-80-denti,,
,,,,,,,
Disco a 40 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-40-denti,,
Disco a 8 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-8-denti,,
,,,,,,,
Disco a 2 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-2-denti,,
Disco a 4 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-4-denti,,
,,,,,,,
Disco a 3 denti,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/dischi-di-taglio/disco-a-3-denti,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Filo Nylon Armor Line Silent,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-silent,,
Filo Nylon Armor Line Quadrato,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-quadrato,,
Filo Nylon Armor Line Tondo,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/filo-in-nylon/filo-nylon-armor-line-tondo,,
,,,,,,,
Lame guida,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/lame-guida,,
,,,,,,,
Maglie di giunzione per rotoli catena Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/maglie-di-giunzione-per-rotoli-catena-shindaiwa,,
Rotoli catena Shindaiwa (30 mt.),,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/rotoli-catena-shindaiwa-30-mt,,
,,,,,,,
Catene confezionate Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/catene-confezionate-echo,,
,,,,,,,
Lame guida marchiate Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/lame-guida-marchiate-shindaiwa,,
,,,,,,,
kit lama-catena Shindaiwa,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/kit-lama-catena-shindaiwa,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ATTACCO ZAPPETTA,"374,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-zappetta,,
ATTACCO POTATORE,"283,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-potatore,,
ATTACCO TAGLIASIEPI,"474,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tosasiepi,,
,,,,,,,
ATTACCO TESTINA A FILO,"173,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-testina-a-filo,,
ATTACCO TAGLIASIEPI CORTO,"438,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/altre-macchine/macchina-multifunzione/attacco-tosasiepi-corto,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protettivo New Extra Synt-Lt. 25,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-25,,
"Protettivo New Extra Synt-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-5-0,,
Pro Up-Lt. 209,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-209,,
,,,,,,,
"Protettivo New Extra Synt-Lt. 2,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-2-0,,
Protettivo New Extra Synt-Lt. 208,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-208,,
,,,,,,,
Pro Up-Lt. 20,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-25,,
,,,,,,,
"Pro Up-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-5-0,,
,,,,,,,
"Addi Mix-Lt. 4,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-lt-4-0,,
,,,,,,,
"Addi Mix Dosatore-Lt. 1,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-dosatore-lt-1-0,,
,,,,,,,
"Pro Up-Lt. 2,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-2-0,,
,,,,,,,
,,,,,,,
"Addi Mix-Lt.0,1",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/addi-mix-lt-0-1,,
,,,,,,,
"Pro Up 2T-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/pro-up-2t-lt-5-0,,
,,,,,,,
"Pro Up 2T-Lt. 0,1",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/olio-mix/pro-up-2t-lt-0-1,,
,,,,,,,
,,,,,,,
,,,,,,,
MANICOTTO ANTITAGLIO PLUS,"51,00",Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/abbigliamento-antitaglio/manicotto-antitaglio,,
,,,,,,,
Descrizione,Listino 4 (ivato),Produttore,Cod. Fornitore,Categoria,Internet,Note,images
Lame guida,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/lame-e-catene/lame-guida,,
,,,,,,,
Protettivo New Extra Synt-Lt. 208,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-208,,
Protettivo New Extra Synt-Lt. 25,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-25,,
"Protettivo New Extra Synt-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-5-0,,
"Protettivo New Extra Synt-Lt. 2,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/protettivo-new-extra-synt-lt-2-0,,
Pro Up-Lt. 209,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-209,,
,,,,,,,
,,,,,,,
Pro Up-Lt. 20,,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-25,,
,,,,,,,
"Pro Up-Lt. 5,0",,Shindaiwa,0000,Macchine,https://www.shindaiwa-italia.it/prodotti/accessori/protettivo-catene/pro-up-lt-5-0,,
,,,,,,,
,,,,,,,
